,Symbol,Security,,,,,,
0,MMM,3M,,,,,,
1,AOS,A. O. Smith,,,,,,
2,ABT,Abbott,,,,,,
3,ABBV,AbbVie,,,,,,
4,ACN,Accenture,,,,,,
5,ADBE,Adobe Inc.,,,,,,
6,AMD,Advanced Micro Devices,,,,,,
7,AES,AES Corporation,,,,,,
8,AFL,Aflac,,,,,,
9,A,Agilent Technologies,,,,,,
10,APD,Air Products and Chemicals,,,,,,
11,ABNB,Airbnb,,,,,,
12,AKAM,Akamai,,,,,,
13,ALB,Albemarle Corporation,,,,,,
14,ARE,Alexandria Real Estate Equities,,,,,,
15,ALGN,Align Technology,,,,,,
16,ALLE,Allegion,,,,,,
17,LNT,Alliant Energy,,,,,,
18,ALL,Allstate,,,,,,
19,GOOGL,Alphabet Inc. (Class A),,,,,,
20,GOOG,Alphabet Inc. (Class C),,,,,,
21,MO,Altria,,,,,,
22,AMZN,Amazon,,,,,,
23,AMCR,Amcor,,,,,,
24,AEE,Ameren,,,,,,
25,AAL,American Airlines Group,,,,,,
26,AEP,American Electric Power,,,,,,
27,AXP,American Express,,,,,,
28,AIG,American International Group,,,,,,
29,AMT,American Tower,,,,,,
30,AWK,American Water Works,,,,,,
31,AMP,Ameriprise Financial,,,,,,
32,AME,Ametek,,,,,,
33,AMGN,Amgen,,,,,,
34,APH,Amphenol,,,,,,
35,ADI,Analog Devices,,,,,,
36,ANSS,Ansys,,,,,,
37,AON,Aon,,,,,,
38,APA,APA Corporation,,,,,,
39,AAPL,Apple Inc.,,,,,,
40,AMAT,Applied Materials,,,,,,
41,APTV,Aptiv,,,,,,
42,ACGL,Arch Capital Group,,,,,,
43,ADM,Archer-Daniels-Midland,,,,,,
44,ANET,Arista Networks,,,,,,
45,AJG,Arthur J. Gallagher & Co.,,,,,,
46,AIZ,Assurant,,,,,,
47,T,AT&T,,,,,,
48,ATO,Atmos Energy,,,,,,
49,ADSK,Autodesk,,,,,,
50,ADP,Automated Data Processing,,,,,,
51,AZO,AutoZone,,,,,,
52,AVB,AvalonBay Communities,,,,,,
53,AVY,Avery Dennison,,,,,,
54,AXON,Axon Enterprise,,,,,,
55,BKR,Baker Hughes,,,,,,
56,BALL,Ball Corporation,,,,,,
57,BAC,Bank of America,,,,,,
58,BK,Bank of New York Mellon,,,,,,
59,BBWI,"Bath & Body Works, Inc.",,,,,,
60,BAX,Baxter International,,,,,,
61,BDX,Becton Dickinson,,,,,,
62,BRK.B,Berkshire Hathaway,,,,,,
63,BBY,Best Buy,,,,,,
64,BIO,Bio-Rad,,,,,,
65,TECH,Bio-Techne,,,,,,
66,BIIB,Biogen,,,,,,
67,BLK,BlackRock,,,,,,
68,BX,Blackstone,,,,,,
69,BA,Boeing,,,,,,
70,BKNG,Booking Holdings,,,,,,
71,BWA,BorgWarner,,,,,,
72,BXP,Boston Properties,,,,,,
73,BSX,Boston Scientific,,,,,,
74,BMY,Bristol Myers Squibb,,,,,,
75,AVGO,Broadcom Inc.,,,,,,
76,BR,Broadridge Financial Solutions,,,,,,
77,BRO,Brown & Brown,,,,,,
78,BF.B,Brown–Forman,,,,,,
79,BLDR,Builders FirstSource,,,,,,
80,BG,Bunge Global SA,,,,,,
81,CDNS,Cadence Design Systems,,,,,,
82,CZR,Caesars Entertainment,,,,,,
83,CPT,Camden Property Trust,,,,,,
84,CPB,Campbell Soup Company,,,,,,
85,COF,Capital One,,,,,,
86,CAH,Cardinal Health,,,,,,
87,KMX,CarMax,,,,,,
88,CCL,Carnival,,,,,,
89,CARR,Carrier Global,,,,,,
90,CTLT,Catalent,,,,,,
91,CAT,Caterpillar Inc.,,,,,,
92,CBOE,Cboe Global Markets,,,,,,
93,CBRE,CBRE Group,,,,,,
94,CDW,CDW,,,,,,
95,CE,Celanese,,,,,,
96,COR,Cencora,,,,,,
97,CNC,Centene Corporation,,,,,,
